,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
18329051.nwb,0.0759394813505601,4.375,0.09370000000000003,0.2725180095643957,0.01959999999999998,0.13056666666666664,0.12110000000000004,160.0,-40.26396560668945,34.19892501831055,-55.52275848388672,-53.99687957763672,,0.0032999999999999974,3.419453015282261,0.2299,0.2407,0.2549,0.1603,-64.27710461616516,119.99999237060547,0.0027901782445153302,118.50775909423828,-101.60430145263672,152.587890625,
18329044.nwb,,1.25,0.24889999999999995,0.0,0.0675,0.24889999999999995,0.24889999999999995,80.0,-64.47119140625,11.212403297424316,-74.23681640625,-67.2177734375,,0.0025000000000000577,2.2025360647964725,0.9438,0.9506,1.6601,,-67.5481287240982,40.0,0.01979852010100211,53.74970626831055,-99.56640625,213.623046875,
18o22020.nwb,-0.015676288683834527,3.75,0.1467,0.0564139200296315,0.11049999999999999,0.13712,0.13529999999999998,160.0,-8168.19384765625,23081.80859375,-11122.294921875,-10353.251953125,,0.0024000000000000132,2.260346299823032,0.3578,0.3627,0.3981,0.16969999999999996,-16755.9095703125,119.99999237060547,0.05223214191563241,0.1384463757276535,-10328.837890625,100250.244140625,
18129004.nwb,0.026684893943474324,7.5,0.05120000000000002,0.19040257679438807,0.01419999999999999,0.07133636363636363,0.0696,100.0,-42.83477020263672,19.421092987060547,-51.07451629638672,-49.54863739013672,,0.0032000000000000084,2.684020917958789,0.206,0.2143,0.2198,0.051100000000000007,-60.94588928222656,59.999996185302734,0.005787037022984159,-187.52748107910156,-89.83183288574219,267.0288383960724,
18320014.nwb,0.03929392131898678,4.375,0.09539999999999998,0.1198760432666764,0.07119999999999999,0.11866666666666666,0.12064999999999998,180.0,-32.76396560668945,54.21113586425781,-46.49687957763672,-44.66582489013672,-43.75029754638672,0.0024000000000000132,2.8392734375886666,0.3577,0.3632,0.3772,0.2908,-60.97526168823242,140.0,0.03125,362.6983642578125,-91.35771179199219,122.0703274011612,
18426010.nwb,0.026073261276663505,5.0,0.08029999999999998,0.11106444263803006,-0.0009000000000000119,0.1000625,0.10049999999999998,80.0,-27.812206268310547,39.93681716918945,-49.17451477050781,-44.29170227050781,,0.003599999999999992,3.7878544835332195,0.2322,0.2438,0.2543,0.09939999999999999,-68.48606138962965,40.0,0.010937499463558167,-277.90081787109375,-103.80097961425781,251.77001953125,
18320005.nwb,0.04209171086720326,3.75,0.121,0.12815966236928383,0.06529999999999997,0.1482,0.1501,100.0,-45.634769439697266,24.5556640625,-75.84716796875,-51.433109283447266,,0.0030999999999999917,2.4377377432985035,0.3833,0.3901,1.3123,,-62.719859668186736,59.999996185302734,0.039620535413981715,-99.74373626708984,-99.9560546875,205.9936672449112,
18426017.nwb,0.02939579592960193,5.625,0.07370000000000002,0.14571280249124066,0.04169999999999999,0.09041249999999999,0.08854999999999999,200.0,-32.810550689697266,52.638675689697266,-43.796878814697266,-41.050296783447266,-40.745121002197266,0.0023999999999999855,2.58820877304588,0.239,0.2448,0.2465,0.08460000000000001,-56.585328698158264,160.0,0.01562499948910296,193.32138061523438,-96.59229278564453,137.3291015625,
18201011.nwb,0.042871782308372866,5.625,0.063,0.1722317514893742,0.018299999999999983,0.09140000000000001,0.09359999999999999,90.0,-44.881351470947266,44.535160064697266,-51.290042877197266,-47.322757720947266,-45.796878814697266,0.0022000000000000075,3.1457422054111275,0.2166,0.2218,0.2587,0.09499999999999997,-50.97350281935472,50.0,0.052455357142857144,55.41013717651367,-84.2490234375,312.80517578125,
18220008.nwb,0.009467043962602647,8.75,0.051699999999999996,0.08632221827112065,0.04579999999999998,0.05977692307692307,0.061799999999999966,80.0,-46.9140625,43.112796783447266,-58.510746002197266,-57.2900390625,-57.59521484375,0.0021999999999999797,2.4154926766162754,0.2792,0.2842,0.2964,0.11929999999999996,-92.03440806070964,29.999998092651367,0.0310164084846316,231.4856414794922,-93.30078125,451.66015625,
18320021.nwb,0.0018065626931807707,18.125,0.02729999999999999,0.03519067895094112,0.022799999999999987,0.028467857142857145,0.028399999999999953,100.0,-51.414066314697266,-15.403321266174316,-69.41943359375,-68.19873046875,,0.0019000000000000128,1.4998026420764057,0.226,0.2317,0.2319,0.05839999999999998,-87.81919606526692,59.999996185302734,0.19687499722838397,46.39161682128906,-104.81982421875,411.9873344898224,
18201004.nwb,0.020555209129934134,8.75,0.0413,0.1627121292299559,0.024899999999999978,0.05857692307692308,0.05810000000000004,70.0,-40.24160385131836,35.136817932128906,-47.56582260131836,-46.95547103881836,-44.51406478881836,0.0020000000000000018,1.9261434552535235,0.2774,0.2816,0.2807,0.10300000000000004,-51.590168952941895,29.999998092651367,0.08124999833106997,26.14946746826172,-81.44033813476562,465.39306640625,
18201028.nwb,0.050617158338092244,5.0,0.069,0.18187605549640756,0.05519999999999997,0.1030857142857143,0.09889999999999999,70.0,-41.736427307128906,27.84365463256836,-52.11240768432617,-50.58652877807617,-49.06064987182617,0.00470000000000001,3.3576950901125637,0.2118,0.2225,0.2237,0.05889999999999998,-51.19280450994318,29.999998092651367,0.012276785797914705,96.61885070800781,-91.78526306152344,427.24609375,
18320019.nwb,0.02030966040288101,6.875,0.0675,0.14879142598360948,0.007099999999999995,0.07973,0.07844999999999996,180.0,-40.17265701293945,37.03681564331055,-51.46416091918945,-50.24345779418945,,0.002600000000000019,2.3451281195536975,0.203,0.2092,0.2109,0.08000000000000002,-62.20874390235314,140.0,0.03906250000000001,394.8479919433594,-99.68193817138672,381.46984577178955,
