,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
19o23003.nwb,-0.009205847125604318,5.0,0.060700000000000004,0.04423261249984249,0.044249999999999984,0.058657142857142866,0.060199999999999976,100.0,-46.539306640625,15.289306640625,-60.302734375,-57.342529296875,,0.0011499999999999844,1.4661171146865506,0.24305,0.25365,0.27115,0.20834999999999998,-61.02291742960612,50.0,0.03913690334869329,-88.60990905761719,-64.178466796875,31.225433349609222,
19o23001.nwb,0.005959489658468104,5.625,0.051700000000000024,0.03552862440483401,0.014249999999999985,0.05550625,0.055725,100.0,-44.036865234375,28.839111328125,-55.145263671875,-52.18505859375,,0.0011499999999999844,1.4827920632280236,0.38395,0.3914,0.41365,0.2756,-59.95452989850725,50.0,0.04642856780850151,-543.2205810546875,-62.042240142822266,11.71264648437435,
19o23010.nwb,0.012665730480147701,5.0,0.06150000000000003,0.05963136936220324,0.02504999999999999,0.06491428571428572,0.06345,250.0,-38.116455078125,18.524169921875,-53.131103515625,-51.239013671875,,0.0010999999999999899,1.2950279483188698,0.28415,0.2938,0.3044,0.13570000000000004,-68.05643653869629,200.0,0.04874999015808198,0.6727308034896851,-73.089599609375,4.293823242187517,
19o23039.nwb,0.009725599146743112,5.0,0.059349999999999986,0.04464451702599387,0.02814999999999998,0.0636,0.06400000000000006,150.0,-47.760009765625,32.989501953125,-56.365966796875,-53.16162109375,,0.0018500000000000183,2.343240771937036,0.3161,0.33165,0.3553,0.14330000000000004,-64.02153549194335,100.0,0.0263392846632975,2.979283332824707,-71.83837890625,13.820343017577924,
19o09016.nwb,0.001113597374279074,3.75,0.003500000000000003,1.1530130477855276,0.08365,0.061239999999999996,0.00385000000000002,200.0,-33.75244140625,4.21142578125,-76.416015625,-58.4716796875,,0.0022000000000000075,1.544698830896012,0.2032,0.23195,0.759,,-64.15204787254333,150.0,0.02276785507980651,0.8990132808685303,-74.249267578125,2.7682495117186683,
2019_10_24_0037.nwb,0.02185291614789918,9.375,0.02400000000000002,0.17527156537559802,0.004499999999999976,0.032175,0.03059999999999999,150.0,-37.567134857177734,13.641357421875,-48.248291015625,-48.2177734375,,0.0010000000000000009,1.1387972481911157,0.2254,0.22795,0.22805,0.047500000000000014,-60.18344345092773,100.0,0.04151785523550823,0.9004258513450623,-62.98828125,21.26739501953101,
19o08018.nwb,0.008246129121657963,4.375,0.06570000000000004,0.043498895442247075,0.01984999999999998,0.07087500000000001,0.07214999999999999,200.0,-37.4755859375,32.53173828125,-46.905517578125,-43.914794921875,,0.0021499999999999853,2.520505940743589,0.2517,0.2645,0.29345,0.15150000000000002,-62.076332092285156,150.0,0.024999996490478626,0.9959536194801331,-68.756103515625,6.431579589843314,
19o08027.nwb,0.018651230127814545,6.875,0.03555,0.11695570153345619,0.013999999999999985,0.04368500000000001,0.042700000000000016,250.0,-35.09521484375,31.768798828125,-44.3115234375,-43.701171875,,0.0021999999999999797,2.5846376255931984,0.23865,0.25075,0.25395,0.04429999999999998,-62.92151476542155,200.0,0.01749999877929649,0.38471001386642456,-72.265625,5.55786132812472,
19o22018.nwb,0.006220093766105648,8.75,0.03410000000000002,0.06463233260131795,0.0004499999999999782,0.037323076923076924,0.037250000000000005,150.0,-36.224365234375,32.867431640625,-49.86572265625,-42.05322265625,,0.0008999999999999841,1.28558629586208,0.21875,0.22145,0.2477,0.14515,-67.15039784567696,100.0,0.05392856572988087,0.37681975960731506,-73.272705078125,2.698364257812181,
19o22031.nwb,0.011449845136328485,8.75,0.029700000000000004,0.0756849167061398,0.007349999999999995,0.03453461538461538,0.03469999999999995,150.0,-38.26904296875,19.622802734375,-47.943115234375,-46.630859375,,0.0012000000000000066,1.5465571100276319,0.23775,0.24645,0.25075,0.04719999999999999,-68.34824765523275,100.0,0.04017856952122253,63.08000564575195,-66.986083984375,52.917938232421406,
19o22001.nwb,0.007507196791830359,6.25,0.04854999999999998,0.04867649490587489,0.005049999999999999,0.05132777777777778,0.05125000000000002,150.0,-43.8232421875,30.975339889526367,-55.389404296875,-49.8046875,,0.0007999999999999952,1.1559869745100144,0.23055,0.2328,0.248,0.1854,-59.48224919637044,100.0,0.05669642615804828,0.6236358880996704,-63.262935638427734,8.179321289062507,
2019_10_24_0073.nwb,0.016566721531073282,5.0,0.05000000000000002,0.09113406267249577,0.039099999999999996,0.055064285714285725,0.05329999999999996,250.0,-43.8232421875,14.95361328125,-56.70166015625,-55.938716888427734,,0.0022999999999999687,2.620864385002821,0.25655,0.27055,0.2757,0.10520000000000002,-76.45400946480888,200.0,0.03749999237060621,143.20550537109375,-82.8857421875,4.671630859374812,
19o08012.nwb,0.024961876703268424,4.375,0.05469999999999997,0.08811607367753564,0.05395,0.06340833333333333,0.06420000000000003,250.0,-36.92626953125,36.92626953125,-46.08154296875,-44.342041015625,,0.002250000000000002,2.961715817472301,0.20445,0.21795,0.22955,0.0766,-63.18450444539388,200.0,0.02124999832153277,0.4778114855289459,-71.258544921875,7.937469482421477,
19o23046.nwb,0.016680633297251734,3.75,0.07874999999999999,0.04662322221733884,0.059199999999999975,0.08614999999999999,0.08695000000000003,200.0,-42.78564453125,23.3154296875,-72.32666015625,-49.49951171875,,0.0011000000000000454,1.4683569019978109,0.3071,0.3183,0.7894,,-64.08451410929362,150.0,0.03928571235500987,0.390316367149353,-70.61767578125,3.9865112304684116,
19o09057.nwb,0.009940425444142524,6.875,0.0431,0.054684637786195985,0.003449999999999981,0.04881,0.048874999999999974,350.0000305175781,-40.985107421875,36.590572357177734,-48.095703125,-45.013427734375,,0.0010999999999999899,1.7111933499152125,0.2184,0.22775,0.25225,0.07495000000000002,-71.4677153996059,300.0,0.049999969482440586,157.46890258789062,-76.080322265625,2.9766845703119977,
19o08003.nwb,0.02698413259954869,4.375,0.06529999999999997,0.10179190189676475,0.0040999999999999925,0.07188333333333333,0.070075,400.0,-33.447265625,41.503902435302734,-44.189453125,-42.999267578125,,0.0018999999999999573,2.442961450011174,0.25385,0.26475,0.2718,0.0948,-55.416066113640284,350.0000305175781,0.027500002136228968,49.74144744873047,-62.408447265625,4.03717041015616,
