,ABF File,Data Type,Exp. Date,Case #,Cell #,Cell Layer,Stim Type,Threshold,Gain Value,ZD,Hold,,Gain,Offset,Response Channel,Command Channel,RMP,Stimulus type
6,18320001,Human,March_20_2018,First,C1,L23,Firing,n.a,n.a,n.a,n.a,,1,-20,Iclamp(mV),Current_in(pA),-70,Ramp
9,18320005,Human,March_20_2018,First,C1,L23,Firing,n.a,n.a,n.a,n.a,,1,-20,Iclamp(mV),Current_in(pA),-70.5,Long_Square
13,18320015,Human,March_20_2018,First,C2,L23,Firing,n.a,n.a,n.a,n.a,,1,-20,Iclamp(mV),Current_in(pA),-68.1,Long_Square
17,18320019,Human,March_20_2018,First,C3,L23,Firing,n.a,n.a,n.a,n.a,,1,-27,Iclamp(mV),Current_in(pA),-71.3,Ramp
19,18320021,Human,March_20_2018,First,C3,L23,Firing,n.a,n.a,n.a,n.a,,1,-27,Iclamp(mV),Current_in(pA),-71.3,Long_Square
21,18320000,Human,March_20_2018,Second,C1,L23,Firing,n.a,n.a,n.a,n.a,,1,-16.4,Iclamp(mV),Current_in(pA),-61.4,Ramp
29,18320012,Human,March_20_2018,Second,C2,L23,Firing,n.a,n.a,n.a,n.a,,1,-17.2,Iclamp(mV),Current_in(pA),-65.2,Ramp
30,18320014,Human,March_20_2018,Second,C2,L23,Firing,n.a,n.a,n.a,n.a,,1,-17.2,Iclamp(mV),Current_in(pA),-65.2,Long_Square
32,18320016,Human,March_20_2018,Second,C3,L23,Firing,n.a,n.a,n.a,n.a,,1,-21.2,Iclamp(mV),Current_in(pA),-66.2,Ramp
33,18320019,Human,March_20_2018,Second,C3,L23,Firing,n.a,n.a,n.a,n.a,,1,-18.2,Iclamp(mV),Current_in(pA),-66.2,Long_Square
35,18320024,Human,March_20_2018,Second,C4,L23,Firing,n.a,n.a,n.a,n.a,,1,-17.6,Iclamp(mV),Current_in(pA),-63.6,Ramp
