recording_id,cutting_solution
19128006.nwb,Sucrose
19128040.nwb,Sucrose
19129043.nwb,Sucrose
19129058.nwb,Sucrose
19129072.nwb,Sucrose
19228030.nwb,Sucrose
19228044.nwb,Sucrose
19228058.nwb,Sucrose
19228068.nwb,Sucrose
19319025.nwb,Sucrose
19320022.nwb,Sucrose
19328001.nwb,Sucrose
19328009.nwb,Sucrose
19328019.nwb,Sucrose
19328034.nwb,Sucrose
19328039.nwb,Sucrose
19328046.nwb,Sucrose
19o10010.nwb,Sucrose
19o10045.nwb,Sucrose
19o10054.nwb,Sucrose
19o10065.nwb,Sucrose
2019_11_04_0001.nwb,Sucrose
2019_11_04_0083.nwb,Sucrose
2019_11_26_0006.nwb,Sucrose
2019_11_26_0019.nwb,Sucrose
2019_11_26_0037.nwb,Sucrose
2019_11_28_0010.nwb,Sucrose
2019_11_28_0038.nwb,Sucrose
18329051.nwb,NMDG
18329044.nwb,NMDG
18329014.nwb,NMDG
18329062.nwb,NMDG
18o22020.nwb,Sucrose
18o22001.nwb,Sucrose
18o22010.nwb,Sucrose
18129004.nwb,NMDG
18129009.nwb,NMDG
18320031.nwb,NMDG
18426010.nwb,NMDG
18426017.nwb,NMDG
18320005.nwb,NMDG
18320021.nwb,NMDG
18201011.nwb,NMDG
18201004.nwb,NMDG
18220008.nwb,NMDG
18220019.nwb,NMDG
19o23003.nwb,Sucrose
19o23001.nwb,Sucrose
19o23010.nwb,Sucrose
19o23039.nwb,Sucrose
19o22018.nwb,Sucrose
19o22001.nwb,Sucrose
19o23046.nwb,Sucrose
18118024.nwb,NMDG
18208014.nwb,NMDG
18208024.nwb,NMDG
2018_02_08_0001.nwb,NMDG
18130014.nwb,NMDG
15o08032.nwb,Sucrose
2016_03_03_0103.nwb,Sucrose
2016_02_29_0065.nwb,Sucrose
19320017.nwb,Sucrose
19320001.nwb,Sucrose
19128036.nwb,Sucrose
2016_03_03_0100.nwb,Sucrose
2020_03_02_0023.nwb,Sucrose
2016_02_04_0042.nwb,Sucrose
2016_02_25_0005.nwb,Sucrose
2016_01_28_0004.nwb,Sucrose
15o08020.nwb,Sucrose
19320007.nwb,Sucrose
2016_02_04_0045.nwb,Sucrose
15o08022.nwb,Sucrose
2016_01_28_0012.nwb,Sucrose
2016_02_25_0007.nwb,Sucrose
2016_03_01_0047.nwb,Sucrose
2020_01_06_0082.nwb,Sucrose
2020_01_27_0002.nwb,Sucrose
2015_11_09_0053.nwb,Sucrose
19129015.nwb,Sucrose
2020_01_28_0008.nwb,Sucrose
2020_01_06_0095.nwb,Sucrose
2015_11_09_0078.nwb,Sucrose
2016_02_04_0009.nwb,Sucrose
2016_02_04_0021.nwb,Sucrose
19128068.nwb,Sucrose
2016_03_03_0002.nwb,Sucrose
19129004.nwb,Sucrose
2020_01_06_0090.nwb,Sucrose
2020_01_27_0038.nwb,Sucrose
2019_11_26_0094.nwb,Sucrose
19122024.nwb,Sucrose
2016_02_04_0018.nwb,Sucrose
2016_02_25_0073.nwb,Sucrose
19122026.nwb,Sucrose
2016_02_04_0033.nwb,Sucrose
19129037.nwb,Sucrose
2019_11_26_0110.nwb,Sucrose
2016_02_25_0082.nwb,Sucrose
2020_01_06_0048.nwb,Sucrose
2015_11_09_0106.nwb,Sucrose
2019_11_28_0079.nwb,Sucrose
2019_11_28_0119.nwb,Sucrose
19122017.nwb,Sucrose
19122003.nwb,Sucrose
2016_02_29_0032.nwb,Sucrose
2016_02_25_0134.nwb,Sucrose
2015_11_09_0107.nwb,Sucrose
2019_11_28_0093.nwb,Sucrose
19320041.nwb,Sucrose
2020_01_28_0017.nwb,Sucrose
19129022.nwb,Sucrose
2020_01_28_0029.nwb,Sucrose
2020_01_06_0063.nwb,Sucrose
2016_02_04_0015.nwb,Sucrose
2016_02_04_0029.nwb,Sucrose
2020_01_27_0008.nwb,Sucrose
19128061.nwb,Sucrose
2016_02_25_0255.nwb,Sucrose
19129024.nwb,Sucrose
19129040.nwb,Sucrose
2020_01_06_0017.nwb,Sucrose
15o08007.nwb,Sucrose
19129069.nwb,Sucrose
19129057.nwb,Sucrose
15o08038.nwb,Sucrose
19128003.nwb,Sucrose
2020_01_27_0042.nwb,Sucrose
15o08011.nwb,Sucrose
2016_03_03_0054.nwb,Sucrose
19129052.nwb,Sucrose
19320025.nwb,Sucrose
2016_01_28_0019.nwb,Sucrose
2015_11_09_0017.nwb,Sucrose
2015_11_09_0003.nwb,Sucrose
19320030.nwb,Sucrose
19320024.nwb,Sucrose
19129047.nwb,Sucrose
2016_03_01_0000.nwb,Sucrose
15o08002.nwb,Sucrose
15o08017.nwb,Sucrose
